id,release_date,revenue,title,vote_average,vote_count
612,12/22/2005,130358911,Munich,7,706
613,9/8/2004,92180910,Downfall,7.7,1059
615,2/25/2004,611899420,The Passion of the Christ,6.9,888
616,12/5/2003,456758981,The Last Samurai,7.3,1946
617,3/20/1998,67200000,Wild Things,6.3,454
618,2/8/1915,11000000,The Birth of a Nation,6.4,109
619,11/25/1992,411006740,The Bodyguard,6.2,681
620,6/7/1984,295212467,Ghostbusters,7.3,2431
621,7/7/1978,181813770,Grease,7.2,1633
622,8/24/1999,58401898,The Ninth Gate,6.3,768
623,7/15/1988,62493712,A Fish Called Wanda,7.1,576
625,11/2/1984,34700291,The Killing Fields,7.5,180
627,2/23/1996,16491080,Trainspotting,7.8,2737
628,11/11/1994,223664608,Interview with the Vampire,7.2,1558
629,7/19/1995,23341568,The Usual Suspects,8.1,3334
630,8/15/1939,33754967,The Wizard of Oz,7.4,1689
631,9/23/1927,121,Sunrise: A Song of Two Humans,7.9,155
634,4/13/2001,281929795,Bridget Joness Diary,6.6,1397
635,3/6/1987,17185632,Angel Heart,7,326
636,3/11/1971,2437000,THX 1138,6.4,265
637,12/20/1997,229400000,Life Is Beautiful,8.3,3643
638,1/15/1997,3675201,Lost Highway,7.5,572
639,7/21/1989,92823546,When Harry Met Sally...,7.3,974
640,12/25/2002,352114312,Catch Me If You Can,7.7,3917
641,10/27/2000,7390108,Requiem for a Dream,7.9,2525
642,9/23/1969,102308889,Butch Cassidy and the Sundance Kid,7.4,659
643,12/24/1925,45100,Battleship Potemkin,7.6,201
644,6/29/2001,235926552,A.I. Artificial Intelligence,6.8,2011
646,10/4/1962,59600000,Dr. No,6.9,953
650,7/12/1991,57504069,Boyz n the Hood,7.4,377
651,1/24/1970,81600000,M*A*S*H,6.9,238
652,5/13/2004,497409852,Troy,6.9,2841
654,6/22/1954,9600000,On the Waterfront,8,368
657,10/11/1963,78898765,From Russia with Love,6.9,773
658,9/17/1964,124881062,Goldfinger,7.2,1005
660,12/16/1965,141195658,Thunderball,6.5,572
663,10/25/2007,139352633,Saw IV,5.9,938
664,5/10/1996,494471524,Twister,6.1,966
665,12/26/1959,146900000,Ben-Hur,7.5,660
666,1/16/1998,5596708,Central Station,7.6,132
667,6/12/1967,111584787,You Only Live Twice,6.5,541
668,12/12/1969,81974493,On Her Majestys Secret Service,6.5,464
670,1/1/2003,14980005,Oldboy,8,2000
671,11/16/2001,976475550,Harry Potter and the Philosophers Stone,7.5,7188
672,11/13/2002,876688482,Harry Potter and the Chamber of Secrets,7.4,5966
673,5/31/2004,789804554,Harry Potter and the Prisoner of Azkaban,7.7,6037
674,11/5/2005,895921036,Harry Potter and the Goblet of Fire,7.5,5758
675,6/28/2007,938212738,Harry Potter and the Order of the Phoenix,7.4,5633
676,5/21/2001,449220945,Pearl Harbor,6.6,1833
679,7/18/1986,183316455,Aliens,7.7,3282
680,9/10/1994,213928762,Pulp Fiction,8.3,8670
681,12/13/1971,116019547,Diamonds Are Forever,6.3,562
682,12/1/1974,97572000,The Man with the Golden Gun,6.4,533
686,7/11/1997,171120329,Contact,7.2,1338
687,12/29/1995,39363635,Dead Man Walking,7.3,350
688,5/28/1995,182016617,The Bridges of Madison County,7.3,397
691,7/7/1977,185438673,The Spy Who Loved Me,6.6,515
692,3/12/1972,6000000,Pink Flamingos,6.2,111
693,12/22/2004,516642939,Meet the Fockers,6.1,1412
694,5/22/1980,44017374,The Shining,8.1,3890
695,9/5/1993,6110979,Short Cuts,6.9,136
696,4/25/1979,39946780,Manhattan,7.8,600
698,6/26/1979,210308099,Moonraker,5.9,551
699,6/23/1981,195312802,For Your Eyes Only,6.3,497
700,6/5/1983,187500000,Octopussy,6.2,534
702,9/18/1951,8000000,A Streetcar Named Desire,7.6,291
703,4/19/1977,38251425,Annie Hall,7.8,1044
704,7/6/1964,12299668,A Hard Days Night,7.3,172
705,11/9/1950,63463,All About Eve,8,367
707,5/24/1985,152427960,A View to a Kill,6,515
708,6/29/1987,191185897,The Living Daylights,6.2,447
709,7/7/1989,156167015,Licence to Kill,5.9,549
710,11/16/1995,352194034,GoldenEye,6.6,1194
711,12/21/2000,80049764,Finding Forrester,7,305
712,3/9/1994,254700832,Four Weddings and a Funeral,6.6,654
713,5/19/1993,116700000,The Piano,7.1,290
714,12/11/1997,333011068,Tomorrow Never Dies,6,941
744,5/16/1986,356830601,Top Gun,6.7,1736
745,8/6/1999,672806292,The Sixth Sense,7.7,3223
746,10/21/1987,43984230,The Last Emperor,7.4,362
747,4/9/2004,30039392,Shaun of the Dead,7.5,2479
752,3/15/2006,132511035,V for Vendetta,7.7,4562
754,6/27/1997,245676146,Face/Off,6.8,1612
755,1/19/1996,25836616,From Dusk Till Dawn,6.9,1644
756,11/13/1940,83320000,Fantasia,7.2,831
762,3/13/1975,5028948,Monty Python and the Holy Grail,7.8,1742
763,8/13/1992,242623,Braindead,7.4,388
764,10/15/1981,29400000,The Evil Dead,7.3,913
765,3/13/1987,5923044,Evil Dead II,7.5,760
767,7/7/2009,933959197,Harry Potter and the Half-Blood Prince,7.4,5435
768,10/19/2001,74558115,From Hell,6.6,758
769,9/12/1990,46836394,GoodFellas,8.2,3211
770,12/15/1939,400176459,Gone with the Wind,7.7,995
771,11/9/1990,476684675,Home Alone,7.1,2487
772,11/19/1992,358991681,Home Alone 2: Lost in New York,6.3,2459
773,7/26/2006,100523181,Little Miss Sunshine,7.5,1728
782,9/7/1997,12532777,Gattaca,7.5,1846
783,11/30/1982,77737889,Gandhi,7.4,730
786,9/15/2000,47383689,Almost Famous,7.4,807
787,6/7/2005,478207520,Mr. & Mrs. Smith,6.5,3048
788,11/24/1993,441286195,Mrs. Doubtfire,7,1638
790,2/8/1980,21378361,The Fog,6.4,318
791,10/14/2005,46201432,The Fog,3.8,191
792,12/18/1986,138530565,Platoon,7.5,1236
793,8/1/1986,8551228,Blue Velvet,7.7,758
794,6/6/1976,60922980,The Omen,7.2,485
795,4/10/1998,198685114,City of Angels,6.5,537
796,3/5/1999,75902208,Cruel Intentions,6.6,848
802,6/13/1962,9250000,Lolita,7.3,409
804,9/2/1953,12000000,Roman Holiday,7.8,502
805,6/12/1968,33395426,Rosemarys Baby,7.5,892
806,6/6/2006,119188334,The Omen,5.3,287
807,9/22/1995,327311859,Se7en,8.1,5915
808,5/16/2001,484409218,Shrek,7.3,4183
809,5/19/2004,919838758,Shrek 2,6.7,3082
810,5/17/2007,798958165,Shrek the Third,6,2355
812,11/25/1992,504050219,Aladdin,7.4,3495
813,7/2/1980,83453539,Airplane!,7.1,1104
814,8/21/1981,31973249,An American Werewolf in London,7.2,571
816,5/2/1997,67683989,Austin Powers: International Man of Mystery,6.5,1033
817,6/8/1999,310940086,Austin Powers: The Spy Who Shagged Me,6.1,1034
818,7/26/2002,296655431,Austin Powers in Goldmember,5.9,997
819,10/18/1996,165615285,Sleepers,7.3,729
820,12/20/1991,205405498,JFK,7.5,513
821,12/1/1961,10000000,Judgment at Nuremberg,7.6,161
824,3/9/2001,179213434,Moulin Rouge!,7.4,1348
826,10/2/1957,27200000,The Bridge on the River Kwai,7.7,554
829,6/20/1974,30000000,Chinatown,7.9,939
830,3/15/1956,3250000,Forbidden Planet,7.2,238
834,1/12/2006,111340801,Underworld: Evolution,6.4,1548
837,2/4/1983,2120439,Videodrome,7.1,464
838,8/1/1973,140000000,American Graffiti,6.9,330
840,11/16/1977,303788635,Close Encounters of the Third Kind,7.2,1122
841,12/14/1984,30925690,Dune,6.5,576
842,5/17/2004,3537961,The Assassination of Richard Nixon,6.4,83
843,5/22/2000,12854953,In the Mood for Love,7.8,379
844,5/20/2004,19271312,2046,6.9,208
845,6/18/1951,7000000,Strangers on a Train,7.6,379
846,6/19/1998,189198313,The X Files,6.6,494
847,5/1/1988,57269863,Willow,6.9,484
848,6/26/1981,14110013,Dragonslayer,6.5,69
849,7/29/1983,16519460,Krull,5.8,130
850,11/18/1983,19294144,A Christmas Story,7.4,352
853,3/13/2001,96976270,Enemy at the Gates,7.2,1023
854,7/29/1994,351583407,The Mask,6.6,2550
855,12/28/2001,172989651,Black Hawk Down,7.2,1832
856,6/21/1988,329803958,Who Framed Roger Rabbit,7.2,1466
857,7/24/1998,481840909,Saving Private Ryan,7.9,5148
858,6/24/1993,227799884,Sleepless in Seattle,6.5,630
859,12/16/1988,34670720,Dangerous Liaisons,7.1,267
860,6/3/1983,79567667,WarGames,7,517
861,6/1/1990,261317921,Total Recall,7.1,1745
862,10/30/1995,373554033,Toy Story,7.7,5415
863,10/30/1999,497366869,Toy Story 2,7.3,3914
864,9/30/1993,154864401,Cool Runnings,6.8,510
865,11/13/1987,38122105,The Running Man,6.4,713
866,10/17/2004,116766556,Finding Neverland,7.2,1269
867,5/21/1993,116300000,Sliver,4.9,144
868,8/18/2005,9879971,Tsotsi,6.9,96
869,7/25/2001,362211740,Planet of the Apes,5.6,1270
871,2/7/1968,33395426,Planet of the Apes,7.5,958
872,4/10/1952,7200000,Singin in the Rain,7.9,747
873,12/18/1985,146292009,The Color Purple,7.7,345
874,12/12/1966,28350000,A Man for All Seasons,7.5,90
877,4/9/1932,600000,Scarface,7.5,88
879,12/11/1991,300854823,Hook,6.7,1563
881,12/11/1992,243240178,A Few Good Men,7.1,899
883,9/5/2003,7897645,Coffee and Cigarettes,6.9,216
